,Source,State,Date,Sample,Biden,Trump,Other,p_hat,sample_sd,Delegates,538 Grade,Mean-Reverted Bias,Bias,Bias_Party,Bias_Numeric,Grade_Bin,Bias_Adjustment
323,InsiderAdvantage,Iowa,2020-11-01,400.0,0.49,0.51,0.06,0.49,0.024994999499899976,6,B-,D +1.1,D +1.8,D,0.018000000000000002,2.0,-0.018000000000000002
324,Emerson College,Iowa,2020-11-01,604.0,0.495,0.505,0.07,0.495,0.020343694208273363,6,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
325,Selzer & Company,Iowa,2020-10-31,814.0,0.46499999999999997,0.535,0.11,0.46499999999999997,0.017482001976901647,6,A+,D +0.1,D +0.2,D,0.002,1.0,-0.002
326,Quinnipiac,Iowa,2020-10-29,1225.0,0.495,0.505,0.07,0.495,0.014284999982141965,6,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
327,RABA Research,Iowa,2020-10-27,693.0,0.52,0.48000000000000004,0.04,0.52,0.01897822858364711,6,B/C,D +0.3,D +6.9,D,0.069,2.0,-0.069
328,RMG Research,Iowa,2020-10-22,800.0,0.5,0.5,0.06,0.5,0.017677669529663688,6,B/C,,,,0.0,2.0,0.0
329,Emerson College,Iowa,2020-10-21,435.0,0.49,0.51,0.06,0.49,0.023968369961695137,6,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
330,NY Times / Siena College,Iowa,2020-10-21,753.0,0.515,0.485,0.11,0.515,0.018212811625449733,6,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
331,Monmouth University,Iowa,2020-10-21,501.0,0.495,0.505,0.05,0.495,0.022337235634885155,6,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
332,InsiderAdvantage,Iowa,2020-10-20,400.0,0.5,0.5,0.1,0.5,0.025,6,B-,D +1.1,D +1.8,D,0.018000000000000002,2.0,-0.018000000000000002
333,YouGov/CBS News,Iowa,2020-10-11,1035.0,0.5,0.5,0.02,0.5,0.015541746804005229,6,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
334,Quinnipiac,Iowa,2020-10-07,1205.0,0.525,0.47500000000000003,0.05,0.525,0.014385764055790699,6,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
335,Civiqs,Iowa,2020-10-07,756.0,0.505,0.495,0.05,0.505,0.018183914922391214,6,B/C,,,,0.0,2.0,0.0
336,RABA Research,Iowa,2020-09-30,780.0,0.51,0.49,0.06,0.51,0.01789929091848656,6,B/C,D +0.3,D +6.9,D,0.069,2.0,-0.069
337,Monmouth University,Iowa,2020-09-24,402.0,0.47,0.53,0.06,0.47,0.024892805010555408,6,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
338,NY Times / Siena College,Iowa,2020-09-24,501.0,0.515,0.485,0.13,0.515,0.022328298059000756,6,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
339,Selzer & Company,Iowa,2020-09-22,658.0,0.5,0.5,0.06,0.5,0.019492029389636262,6,A+,D +0.1,D +0.2,D,0.002,1.0,-0.002
340,Fabrizio Ward / Hart Research,Iowa,2020-09-10,800.0,0.49,0.51,0.08,0.49,0.017674133642133636,6,,,,,0.0,,0.0
341,RMG Research,Iowa,2020-08-06,500.0,0.495,0.505,0.19,0.495,0.0223595617130569,6,B/C,,,,0.0,2.0,0.0
342,Monmouth University,Iowa,2020-08-05,401.0,0.485,0.515,0.07,0.485,0.0249575699789036,6,A+,D +1.3,D +1.8,D,0.018000000000000002,1.0,-0.018000000000000002
343,Public Policy,Iowa,2020-07-28,1118.0,0.495,0.505,0.05,0.495,0.014952967409415707,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
344,Spry Strategies,Iowa,2020-07-22,701.0,0.51,0.49,0.06,0.51,0.018880962039369103,6,B/C,R +0.3,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
345,Selzer & Company,Iowa,2020-06-15,674.0,0.495,0.505,0.13,0.495,0.019258317406188614,6,A+,D +0.1,D +0.2,D,0.002,1.0,-0.002
346,Civiqs,Iowa,2020-06-09,865.0,0.5,0.5,0.08,0.5,0.017000510022951148,6,B/C,,,,0.0,2.0,0.0
347,Public Policy,Iowa,2020-06-05,963.0,0.495,0.505,0.05,0.495,0.016111469183545505,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
348,Public Policy,Iowa,2020-05-04,1222.0,0.49,0.51,0.06,0.49,0.014300378258305112,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
349,Selzer & Company,Iowa,2020-03-11,667.0,0.44999999999999996,0.55,0.08,0.44999999999999996,0.019263033711389203,6,A+,D +0.1,D +0.2,D,0.002,1.0,-0.002
350,NY Times / Siena College,Iowa,2020-01-25,1689.0,0.49,0.51,0.1,0.49,0.012163772902581553,6,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
351,Public Policy,Iowa,2020-01-08,964.0,0.48500000000000004,0.515,0.05,0.48500000000000004,0.016096667266718153,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
352,NY Times / Siena College,Kansas,2020-10-22,755.0,0.46499999999999997,0.535,0.11,0.46499999999999997,0.01815222606895028,6,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
353,Public Policy,Kansas,2020-10-21,897.0,0.44,0.56,0.04,0.44,0.016573877715233377,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
354,Axios / SurveyMonkey,Kansas,2020-10-17,1972.0,0.465,0.535,0.01,0.465,0.011231814239721855,6,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
355,Fort Hayes St. U.,Kansas,2020-10-02,306.0,0.43,0.5700000000000001,0.1,0.43,0.02830159698951391,6,,,,,0.0,,0.0
356,Civiqs,Kansas,2020-09-30,677.0,0.44999999999999996,0.55,0.06,0.44999999999999996,0.019120236829741576,6,B/C,,,,0.0,2.0,0.0
357,SurveyUSA,Kansas,2020-08-12,1202.0,0.46499999999999997,0.535,0.11,0.46499999999999997,0.014386366951963206,6,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
358,Public Policy,Kansas,2020-08-07,864.0,0.46499999999999997,0.535,0.07,0.46499999999999997,0.016968618911914365,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
359,Civiqs,Kansas,2020-06-02,699.0,0.44,0.56,0.08,0.44,0.01877507860270927,6,B/C,,,,0.0,2.0,0.0
360,Public Policy,Kansas,2020-03-12,1567.0,0.44,0.56,0.08,0.44,0.012539662665219446,6,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
361,DFM Research,Kansas,2020-02-10,600.0,0.45999999999999996,0.54,0.06,0.45999999999999996,0.020346989949375806,6,B/C,D +1.5,D +5.4,D,0.054000000000000006,2.0,-0.054000000000000006
362,Mason-Dixon,Kentucky,2020-10-20,625.0,0.41500000000000004,0.5850000000000001,0.05,0.41500000000000004,0.019708881246788212,8,B+,R +0.6,R +0.7,R,0.006999999999999999,2.0,0.006999999999999999
363,Axios / SurveyMonkey,Kentucky,2020-10-17,2525.0,0.415,0.585,0.01,0.415,0.009805534908993243,8,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
364,Quinnipiac,Kentucky,2020-09-16,1164.0,0.4,0.6,0.04,0.4,0.014359163172354762,8,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
365,Quinnipiac,Kentucky,2020-08-06,909.0,0.45499999999999996,0.545,0.09,0.45499999999999996,0.016516651597039814,8,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
366,Morning Consult,Kentucky,2020-08-04,793.0,0.38,0.62,0.06,0.38,0.01723657801565571,8,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
367,Spry Strategies,Kentucky,2020-07-22,600.0,0.37,0.63,0.06,0.37,0.019710403344427023,8,B/C,R +0.3,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
368,Civiqs,Kentucky,2020-06-18,898.0,0.4,0.6,0.06,0.4,0.016348106283743936,8,B/C,,,,0.0,2.0,0.0
369,Public Policy,Kentucky,2020-05-20,1104.0,0.42000000000000004,0.5800000000000001,0.06,0.42000000000000004,0.014854365483353487,8,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
370,Univ. of New Orleans,Louisiana,2020-10-27,755.0,0.385,0.615,0.05,0.385,0.017709016672960102,8,,,,,0.0,,0.0
371,Trafalgar Group,Louisiana,2020-10-14,1048.0,0.41,0.5900000000000001,0.1,0.41,0.015192781532261397,8,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
372,Axios / SurveyMonkey,Louisiana,2020-10-01,2475.0,0.39,0.61,0.02,0.39,0.009804142600003946,8,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
373,Trafalgar Group,Louisiana,2020-08-24,1002.0,0.42,0.5800000000000001,0.08,0.42,0.01559210609427379,8,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
374,Emerson College,Maine,2020-11-01,611.0,0.555,0.445,0.03,0.555,0.020105083999293758,4,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
375,SurveyUSA,Maine,2020-10-29,1007.0,0.5650000000000001,0.43500000000000005,0.07,0.5650000000000001,0.015622628916420526,4,A,D +0.1,D +0.1,D,0.001,1.0,-0.001
376,Colby College,Maine,2020-10-28,879.0,0.5650000000000001,0.435,0.11,0.5650000000000001,0.016721468492103892,4,,,,,0.0,,0.0
377,Pan Atlantic Research,Maine,2020-10-15,600.0,0.55,0.45,0.1,0.55,0.020310096011589902,4,B/C,D +0.8,D +2.7,D,0.027000000000000003,2.0,-0.027000000000000003
378,Bangor Daily News,Maine,2020-10-06,466.0,0.555,0.445,0.09,0.555,0.02302149583294418,4,,,,,0.0,,0.0
379,Colby College,Maine,2020-09-25,847.0,0.555,0.445,0.11,0.555,0.017075946752582956,4,,,,,0.0,,0.0
380,Suffolk University,Maine,2020-09-21,500.0,0.56,0.44,0.1,0.56,0.02219909908081857,4,A,D +0.6,D +1.0,D,0.01,1.0,-0.01
381,NY Times / Siena College,Maine,2020-09-18,663.0,0.5850000000000001,0.41500000000000004,0.07,0.5850000000000001,0.01913573804660367,4,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
382,Quinnipiac,Maine,2020-09-16,1183.0,0.605,0.395,0.03,0.605,0.014212938041687178,4,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
383,Fabrizio Ward / Hart Research,Maine,2020-09-10,800.0,0.5700000000000001,0.43000000000000005,0.06,0.5700000000000001,0.017503571064214296,4,,,,,0.0,,0.0
384,Bangor Daily News,Maine,2020-08-11,500.0,0.54,0.45999999999999996,0.2,0.54,0.022289010745208053,4,,,,,0.0,,0.0
385,RMG Research,Maine,2020-08-10,500.0,0.555,0.445,0.11,0.555,0.022224985939253147,4,B/C,,,,0.0,2.0,0.0
386,Quinnipiac,Maine,2020-08-06,807.0,0.5750000000000001,0.425,0.11,0.5750000000000001,0.017401697705210946,4,B+,D +0.2,D +0.2,D,0.002,2.0,-0.002
387,Colby College,Maine,2020-07-28,888.0,0.56,0.44,0.12,0.56,0.016657655221473323,4,,,,,0.0,,0.0
388,Public Policy,Maine,2020-07-28,962.0,0.555,0.445,0.05,0.555,0.01602282026457169,4,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
389,Public Policy,Maine,2020-07-06,1022.0,0.555,0.445,0.05,0.555,0.01554536949448795,4,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
390,Public Policy,Maine,2020-03-05,782.0,0.55,0.44999999999999996,0.06,0.55,0.017790339054747226,4,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
391,Gonzales Research,Maryland,2020-10-26,820.0,0.625,0.375,0.09,0.625,0.016906305650014355,10,B/C,R +0.3,R +2.1,R,0.021,2.0,0.021
392,Goucher College,Maryland,2020-10-08,776.0,0.655,0.345,0.09,0.655,0.01706472668715255,10,,,,,0.0,,0.0
393,Change Research,Maryland,2020-10-07,650.0,0.645,0.355,0.07,0.645,0.018768836691953786,10,,,,,0.0,,0.0
394,OpinionWorks,Maryland,2020-09-25,753.0,0.66,0.33999999999999997,0.08,0.66,0.017262907290705412,10,B/C,R +0.5,R +3.1,R,0.031,2.0,0.031
395,Gonzales Research,Maryland,2020-05-26,810.0,0.62,0.38,0.06,0.62,0.01705474120386657,10,B/C,R +0.3,R +2.1,R,0.021,2.0,0.021
396,Goucher College,Maryland,2020-02-25,718.0,0.625,0.375,0.05,0.625,0.018067306844177726,10,,,,,0.0,,0.0
397,MassINC,Massachusetts,2020-11-02,929.0,0.67,0.33,0.1,0.67,0.015427178846032426,11,A/B,R +0.7,R +2.4,R,0.024,1.0,0.024
398,UMass Amherst/WCVB,Massachusetts,2020-10-26,713.0,0.675,0.32499999999999996,0.07,0.675,0.017540775977116375,11,,,,,0.0,,0.0
399,Axios / SurveyMonkey,Massachusetts,2020-10-17,4077.0,0.7,0.3,0.02,0.7,0.007176939605743426,11,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
400,Axios / SurveyMonkey,Massachusetts,2020-10-01,2655.0,0.67,0.33,0.02,0.67,0.009125614289361133,11,D-,D +5.0,D +5.6,D,0.055999999999999994,3.0,-0.055999999999999994
401,Emerson College,Massachusetts,2020-08-28,763.0,0.6900000000000001,0.31,0.02,0.6900000000000001,0.016743379591864775,11,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
402,UMass Amherst/WCVB,Massachusetts,2020-08-14,500.0,0.665,0.335,0.11,0.665,0.021108055334397816,11,,,,,0.0,,0.0
403,WBUR,Massachusetts,2020-08-12,501.0,0.68,0.32,0.1,0.68,0.020840617489060857,11,,,,,0.0,,0.0
404,MassINC,Massachusetts,2020-07-28,797.0,0.66,0.34,0.22,0.66,0.016779625573263575,11,A/B,R +0.7,R +2.4,R,0.024,1.0,0.024
405,Emerson College,Massachusetts,2020-05-07,740.0,0.65,0.35,0.1,0.65,0.017533751236755712,11,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
406,UMass Lowell,Massachusetts,2020-05-07,1000.0,0.6399999999999999,0.36,0.12,0.6399999999999999,0.015178932768808221,11,,,,,0.0,,0.0
407,Research Co.,Michigan,2020-11-02,450.0,0.535,0.46499999999999997,0.07,0.535,0.023512408071767837,16,B-,R +0.5,R +1.1,R,0.011000000000000001,2.0,0.011000000000000001
408,Morning Consult,Michigan,2020-11-02,1736.0,0.535,0.465,0.03,0.535,0.01197094697292455,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
409,Trafalgar Group,Michigan,2020-11-01,1033.0,0.49,0.51,0.06,0.49,0.015553673114022004,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
410,InsiderAdvantage,Michigan,2020-11-01,500.0,0.51,0.49,0.04,0.51,0.022356207191739835,16,B-,D +1.1,D +1.8,D,0.018000000000000002,2.0,-0.018000000000000002
411,Ipsos/Reuters,Michigan,2020-11-01,654.0,0.55,0.44999999999999996,0.06,0.55,0.019453543815266077,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
412,Emerson College,Michigan,2020-11-01,700.0,0.535,0.465,0.03,0.535,0.01885186614483715,16,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
413,EPIC-MRA,Michigan,2020-11-01,600.0,0.535,0.46499999999999997,0.11,0.535,0.020362342694297236,16,B+,R +0.2,R +0.4,R,0.004,2.0,0.004
414,Mitchell Research,Michigan,2020-10-31,817.0,0.535,0.465,0.03,0.535,0.01744987575929089,16,,,,,0.0,,0.0
415,CNN/SSRS,Michigan,2020-10-31,907.0,0.56,0.43999999999999995,0.06,0.56,0.01648225800996168,16,B/C,D +1.2,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
416,Trafalgar Group,Michigan,2020-10-30,1058.0,0.49,0.51,0.04,0.49,0.015368811862724902,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
417,Trafalgar Group,Michigan,2020-10-30,1058.0,0.49,0.51,0.04,0.49,0.015368811862724902,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
418,Trafalgar Group,Michigan,2020-10-30,1058.0,0.49,0.51,0.04,0.49,0.015368811862724902,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
419,RMG Research,Michigan,2020-10-30,800.0,0.535,0.465,0.05,0.535,0.017634306053825877,16,B/C,,,,0.0,2.0,0.0
420,RMG Research,Michigan,2020-10-30,800.0,0.535,0.465,0.05,0.535,0.017634306053825877,16,B/C,,,,0.0,2.0,0.0
421,Public Policy,Michigan,2020-10-30,745.0,0.55,0.45,0.02,0.55,0.018226759588601347,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
422,Mitchell Research,Michigan,2020-10-28,759.0,0.55,0.44999999999999996,0.06,0.55,0.018057877962865378,16,,,,,0.0,,0.0
423,NY Times / Siena College,Michigan,2020-10-28,856.0,0.54,0.45999999999999996,0.1,0.54,0.017034873521334124,16,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
424,ABC News / Wash. Post,Michigan,2020-10-28,789.0,0.535,0.465,0.05,0.535,0.017756806652929058,16,A+,D +0.5,D +0.8,D,0.008,1.0,-0.008
425,Glengariff Group,Michigan,2020-10-27,600.0,0.535,0.46499999999999997,0.09,0.535,0.020362342694297236,16,B/C,D +0.3,D +1.3,D,0.013000000000000001,2.0,-0.013000000000000001
426,Ipsos/Reuters,Michigan,2020-10-27,652.0,0.545,0.455,0.05,0.545,0.01950204488255596,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
427,Univ. of Wisconsin-Madison,Michigan,2020-10-26,681.0,0.55,0.44999999999999996,0.06,0.55,0.0190640007172686,16,B/C,D +0.4,D +4.1,D,0.040999999999999995,2.0,-0.040999999999999995
428,Gravis Marketing,Michigan,2020-10-24,679.0,0.5650000000000001,0.435,0.03,0.5650000000000001,0.019025407397920507,16,C,D +0.9,D +1.1,D,0.011000000000000001,3.0,-0.011000000000000001
429,EPIC-MRA,Michigan,2020-10-23,600.0,0.5449999999999999,0.455,0.13,0.5449999999999999,0.020329576155608032,16,B+,R +0.2,R +0.4,R,0.004,2.0,0.004
430,Public Policy,Michigan,2020-10-22,804.0,0.535,0.46499999999999997,0.07,0.535,0.017590384924470664,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
431,Morning Consult,Michigan,2020-10-22,1717.0,0.54,0.46,0.04,0.54,0.012027923248923877,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
432,Trafalgar Group,Michigan,2020-10-22,1034.0,0.49,0.51,0.08,0.49,0.015546150176162798,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
433,Fox News,Michigan,2020-10-21,1032.0,0.56,0.44,0.08,0.56,0.015451850695708931,16,A-,D +1.4,D +2.7,D,0.027000000000000003,1.0,-0.027000000000000003
434,CNBC/Change Research,Michigan,2020-10-20,718.0,0.535,0.465,0.05,0.535,0.018614061537130418,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
435,Ipsos/Reuters,Michigan,2020-10-20,686.0,0.535,0.465,0.05,0.535,0.019043260555764923,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
436,Mitchell Research,Michigan,2020-10-19,900.0,0.55,0.44999999999999996,0.08,0.55,0.016583123951777,16,,,,,0.0,,0.0
437,Hill-HarrisX,Michigan,2020-10-16,1289.0,0.555,0.445,0.03,0.555,0.013842038038796677,16,,,,,0.0,,0.0
438,Trafalgar Group,Michigan,2020-10-16,1025.0,0.495,0.505,0.07,0.495,0.015616595300528467,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
439,RMG Research,Michigan,2020-10-15,800.0,0.53,0.47,0.1,0.53,0.017645821035021294,16,B/C,,,,0.0,2.0,0.0
440,EPIC-MRA,Michigan,2020-10-14,600.0,0.5449999999999999,0.455,0.13,0.5449999999999999,0.020329576155608032,16,B+,R +0.2,R +0.4,R,0.004,2.0,0.004
441,Ipsos/Reuters,Michigan,2020-10-13,620.0,0.54,0.45999999999999996,0.06,0.54,0.020016122533855617,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
442,Morning Consult,Michigan,2020-10-13,1710.0,0.535,0.465,0.05,0.535,0.01206161084351302,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
443,NY Times / Siena College,Michigan,2020-10-12,614.0,0.54,0.46,0.12,0.54,0.020113683416677294,16,A+,R +0.3,R +0.4,R,0.004,1.0,0.004
444,YouGov/CBS News,Michigan,2020-10-11,1190.0,0.53,0.47000000000000003,0.02,0.53,0.01446816267161926,16,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
445,Baldwin Wallace Univ.,Michigan,2020-10-11,1134.0,0.535,0.46499999999999997,0.07,0.535,0.014811424876706052,16,C/D,D +0.7,D +8.3,D,0.083,3.0,-0.083
446,Redfield & Wilton,Michigan,2020-10-09,700.0,0.54,0.45999999999999996,0.08,0.54,0.01883765226500221,16,,,,,0.0,,0.0
447,Emerson College,Michigan,2020-10-08,716.0,0.55,0.44999999999999996,0.06,0.55,0.018592213183519935,16,A-,D +0.3,D +0.4,D,0.004,1.0,-0.004
448,CNBC/Change Research,Michigan,2020-10-06,676.0,0.54,0.45999999999999996,0.06,0.54,0.019169131991349404,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
449,Ipsos/Reuters,Michigan,2020-10-06,709.0,0.54,0.45999999999999996,0.06,0.54,0.01871770844171064,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
450,Glengariff Group,Michigan,2020-10-05,600.0,0.5449999999999999,0.455,0.13,0.5449999999999999,0.020329576155608032,16,B/C,D +0.3,D +1.3,D,0.013000000000000001,2.0,-0.013000000000000001
451,Redfield & Wilton,Michigan,2020-10-02,785.0,0.545,0.45499999999999996,0.07,0.545,0.017773342953570186,16,,,,,0.0,,0.0
452,Public Policy,Michigan,2020-10-02,746.0,0.53,0.47,0.06,0.53,0.018273319597579458,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
453,Trafalgar Group,Michigan,2020-09-30,1042.0,0.51,0.49,0.04,0.51,0.015486357069314621,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
454,NBC News/Marist,Michigan,2020-09-27,799.0,0.54,0.46,0.04,0.54,0.017632033653650233,16,,,,,0.0,,0.0
455,Trafalgar Group,Michigan,2020-09-24,1015.0,0.495,0.505,0.07,0.495,0.015693335788714263,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
456,Univ. of Wisconsin-Madison,Michigan,2020-09-24,641.0,0.53,0.47000000000000003,0.04,0.53,0.019713232724791196,16,B/C,D +0.4,D +4.1,D,0.040999999999999995,2.0,-0.040999999999999995
457,Baldwin Wallace Univ.,Michigan,2020-09-23,1001.0,0.54,0.45999999999999996,0.08,0.54,0.015752836193900076,16,C/D,D +0.7,D +8.3,D,0.083,3.0,-0.083
458,CNBC/Change Research,Michigan,2020-09-23,568.0,0.54,0.45999999999999996,0.06,0.54,0.02091229168842984,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
459,Ipsos/Reuters,Michigan,2020-09-22,637.0,0.525,0.475,0.07,0.525,0.019785942395638283,16,B-,D +0.4,D +0.5,D,0.005,2.0,-0.005
460,MRG,Michigan,2020-09-22,600.0,0.525,0.475,0.13,0.525,0.020386883037875114,16,B/C,D +0.3,D +1.7,D,0.017,2.0,-0.017
461,Redfield & Wilton,Michigan,2020-09-18,930.0,0.55,0.45,0.12,0.55,0.01631346168837456,16,,,,,0.0,,0.0
462,EPIC-MRA,Michigan,2020-09-18,600.0,0.54,0.46,0.12,0.54,0.020346989949375806,16,B+,R +0.2,R +0.4,R,0.004,2.0,0.004
463,Rasmussen Reports,Michigan,2020-09-10,1000.0,0.54,0.45999999999999996,0.06,0.54,0.015760710643876435,16,C+,R +1.5,R +1.6,R,0.016,3.0,0.016
464,Benenson / GS Strategy,Michigan,2020-09-10,1600.0,0.535,0.46499999999999997,0.07,0.535,0.012469337392179265,16,B/C,D +0.7,D +3.8,D,0.038,2.0,-0.038
465,CNBC/Change Research,Michigan,2020-09-09,876.0,0.53,0.47,0.08,0.53,0.016862998861222972,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
466,Redfield & Wilton,Michigan,2020-09-08,967.0,0.555,0.445,0.09,0.555,0.01598134253445945,16,,,,,0.0,,0.0
467,Glengariff Group,Michigan,2020-09-08,600.0,0.525,0.475,0.11,0.525,0.020386883037875114,16,B/C,D +0.3,D +1.3,D,0.013000000000000001,2.0,-0.013000000000000001
468,Public Policy,Michigan,2020-09-01,897.0,0.52,0.48,0.08,0.52,0.01668115312456598,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
469,Trafalgar Group,Michigan,2020-08-28,1048.0,0.49,0.51,0.08,0.49,0.015441962261101484,16,C-,R +0.9,R +1.5,R,0.015,3.0,0.015
470,CNBC/Change Research,Michigan,2020-08-26,809.0,0.53,0.47,0.06,0.53,0.01754739300397908,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
471,Civiqs,Michigan,2020-08-21,631.0,0.515,0.48500000000000004,0.05,0.515,0.019895726591621574,16,B/C,,,,0.0,2.0,0.0
472,Redfield & Wilton,Michigan,2020-08-21,812.0,0.56,0.44,0.12,0.56,0.017419766814227706,16,,,,,0.0,,0.0
473,CNBC/Change Research,Michigan,2020-08-12,413.0,0.525,0.475,0.09,0.525,0.024572618080335555,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
474,Univ. of Wisconsin-Madison,Michigan,2020-08-10,761.0,0.52,0.48,0.1,0.52,0.018110480046548343,16,B/C,D +0.4,D +4.1,D,0.040999999999999995,2.0,-0.040999999999999995
475,EPIC-MRA,Michigan,2020-08-07,600.0,0.555,0.445,0.09,0.555,0.02028854356527348,16,B+,R +0.2,R +0.4,R,0.004,2.0,0.004
476,Public Policy,Michigan,2020-08-03,876.0,0.53,0.47,0.08,0.53,0.016862998861222972,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
477,Redfield & Wilton,Michigan,2020-07-30,811.0,0.56,0.44,0.14,0.56,0.017430503189246514,16,,,,,0.0,,0.0
478,CNBC/Change Research,Michigan,2020-07-29,413.0,0.52,0.48,0.12,0.52,0.024583700972613864,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
479,Morning Consult,Michigan,2020-07-28,1320.0,0.55,0.44999999999999996,0.06,0.55,0.013693063937629153,16,B/C,D +0.2,D +0.6,D,0.006,2.0,-0.006
480,YouGov/CBS News,Michigan,2020-07-26,1177.0,0.53,0.47,0.1,0.53,0.014547843898909963,16,B,D +0.4,D +0.4,D,0.004,2.0,-0.004
481,CNN/SSRS,Michigan,2020-07-26,927.0,0.56,0.44,0.08,0.56,0.016303486367811496,16,B/C,D +1.2,D +2.9,D,0.028999999999999998,2.0,-0.028999999999999998
482,Gravis Marketing,Michigan,2020-07-23,754.0,0.545,0.45499999999999996,0.07,0.545,0.018135029924012468,16,C,D +0.9,D +1.1,D,0.011000000000000001,3.0,-0.011000000000000001
483,Fox News,Michigan,2020-07-23,756.0,0.545,0.455,0.11,0.545,0.018111025903003376,16,A-,D +1.4,D +2.7,D,0.027000000000000003,1.0,-0.027000000000000003
484,Spry Strategies,Michigan,2020-07-22,600.0,0.47500000000000003,0.525,0.05,0.47500000000000003,0.020386883037875114,16,B/C,R +0.3,R +5.4,R,0.054000000000000006,2.0,0.054000000000000006
485,Public Policy,Michigan,2020-07-18,1041.0,0.535,0.465,0.05,0.535,0.015458879171691484,16,B,D +0.3,D +0.4,D,0.004,2.0,-0.004
486,CNBC/Change Research,Michigan,2020-07-15,824.0,0.53,0.47,0.1,0.53,0.017386944103053834,16,C-,D +1.1,D +1.6,D,0.016,3.0,-0.016
