Pollster,Source,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,,# of Polls for Bias Analysis,Bias,House Effect,,Average Distance from Polling Average (ADPA),Herding Penalty,Latest Poll
279,Rainmaker Media Group,276,1,no,yes*,Live*,no,,0.7,B/C,D +0.3,,100%,100%,12.1,5.2,7.1,,10.3,0.2,,1,D +12.1,D +7.8,,,0,10/15/2008
280,Southeastern Louisiana University,309,8,no,yes*,Live*,no,,0.7,B/C,D +0.1,,88%,38%,6.3,5,1.5,,2.2,0.3,,8,D +0.4,D +0.1,,6,0,10/22/2008
281,Douglas Fulmer & Associates,82,2,no,partial,IVR/Live,no,,0.7,B/C,,,100%,50%,5,8.3,-3.1,,-2.8,-0.2,,0,,,,9.1,0,1/19/2016
282,Ohio University,237,2,no,yes*,Live*,no,,0.7,B/C,D +0.3,,50%,50%,8.8,6,2.9,,6.3,0.3,,2,D +8.8,D +8.1,,8.5,0,10/18/2008
283,East Carolina Univ. ,523,3,yes,no,IVR/Online,no,,0.7,B/C,,,100%,100%,19.1,7.9,11.4,,2.1,0.3,,0,,,,6.5,0,2/28/2020
284,Star Tribune,315,14,no,yes,Live,no,,0.7,B/C,D +0.9,,50%,50%,5.9,4.2,1.9,,1.8,0.3,,12,D +5.1,D +3.7,,5.1,0,11/6/2006
285,University of Iowa,353,3,no,yes,Live,no,,0.7,B/C,R +0.3,,67%,67%,17.3,8.2,9.3,,4.4,0.3,,1,R +6.6,R +2.8,,13.1,0,10/23/2012
286,Hays Research Group,136,7,no,yes,Live,no,,0.7,B/C,D +0.7,,71%,43%,7.8,5.3,2.7,,2.2,0.3,,3,D +11.9,D +3.9,,8.2,0,10/30/2010
287,BK Strategies,20,3,no,partial,IVR/Live,no,,0.7,B/C,D +0.4,,67%,33%,3.8,3.7,0.3,,-1,-0.1,,3,D +3.6,R +2.9,,3.3,0.27,10/28/2016
288,New England College,228,19,no,no,IVR,no,,0.7,B/C,R +1.2,,74%,16%,4.2,5.1,-0.7,,-0.4,-0.2,,19,R +3.1,R +3.4,,5.3,0,11/1/2014
289,Hellenthal & Associates,137,5,no,yes,Live,no,,0.7,B/C,D +0.4,,40%,40%,8.3,6.6,1.8,,2.4,0.3,,3,D +4.4,D +1.2,,18,0,10/18/2014
290,Hickman Analytics,415,1,no,yes,Live,no,,0.7,B/C,D +0.4,,0%,100%,9.1,6.2,3.1,,6.1,0.3,,1,D +9.1,D +7.7,,,0,10/15/2019
291,St. Cloud State University,312,9,no,yes,Live,no,,0.7,B/C,D +0.3,,67%,44%,6.4,5.6,1,,2.1,0.3,,9,D +2.0,D +1.3,,5.8,0.05,10/18/2012
292,RRH Elections,274,9,no,partial,IVR/Online/Live,no,,0.7,B/C,D +0.5,,83%,22%,4.2,5.6,-1.2,,-1,-0.3,,9,D +1.8,R +4.1,,3.9,0.83,8/27/2019
293,Benenson / GS Strategy,30,9,no,partial,Online/Live,no,,0.7,B/C,D +0.7,,61%,11%,5.8,6.2,-0.2,,0,0,,9,D +3.8,D +7.6,,9.9,0,10/16/2014
294,Greg Smith and Associates,128,5,no,yes*,Live*,no,,0.7,B/C,D +0.8,,60%,40%,8.5,6.2,2.5,,2.7,0.3,,5,D +8.5,D +3.7,,5.2,0.81,10/29/2010
295,Mellman Group,205,22,no,partial,Live/Text,no,,0.7,B/C,D +1.7,,80%,18%,5.2,5.4,0.1,,0,0,,22,D +4.4,D +5.5,,3.7,0.38,10/14/2014
296,Consumer Logic,59,4,no,yes*,Live*,no,,0.7,B/C,D +0.3,,50%,75%,8.8,5.1,3.8,,4.4,0.3,,4,D +5.4,D +2.5,,3.1,1.17,10/17/2004
297,East Tennessee State,456,2,no,yes,Live,no,,0.7,B/C,D +0.9,,75%,100%,9.9,5.8,4.2,,3.8,0.3,,2,D +9.9,D +3.9,,,0,10/26/2018
298,Hamilton Campaigns,130,9,no,yes,Live,no,,0.7,B/C,D +1.0,,61%,33%,6.9,5.8,1.3,,1.8,0.3,,9,D +5.6,D +4.9,,4.3,0.35,10/25/2014
299,The Tyson Group,334,12,no,partial,Online/Live,no,,0.8,B/C,R +0.0,,96%,17%,4.7,5.8,-0.9,,0,0,,10,R +0.1,D +0.1,,4.5,0.24,3/7/2016
300,Keating Research/OnSight Public Affairs/Melanson,455,1,no,partial,Online/Live,no,,0.8,B/C,R +0.1,,100%,0%,2.6,5.9,-3.1,,-3.9,-0.2,,1,R +2.6,D +3.0,,,0,10/28/2018
301,1892,461,1,no,partial,IVR/Live,no,,0.8,B/C,R +0.0,,100%,0%,0.6,3.9,-3.1,,-2.3,-0.1,,1,R +0.6,R +4.3,,7.5,0,10/21/2018
302,Starboard Communications,316,2,no,partial,IVR/Live/Text,no,,0.8,B/C,D +0.1,,100%,0%,1.7,6.1,-4.2,,-8.5,-0.8,,1,D +3.3,R +7.3,,19.5,0,2/26/2020
303,DCCC Targeting and Analytics Department,68,1,no,partial,IVR/Live,no,,0.8,B/C,D +0.2,,100%,0%,4.5,6.2,-1.6,,-2,-0.1,,1,D +4.5,,,,0,10/20/2016
304,Massie & Associates,199,2,no,yes*,Live*,no,,0.8,B/C,R +0.5,,0%,100%,24,7,17.1,,15.4,0.3,,2,R +24.0,,,,0,10/24/1998
305,Rasmussen Reports,277,722,no,no,IVR/Online,no,,0.8,C+,R +1.5,,78%,29%,5.3,5.6,-0.1,,0.2,0.2,,581,R +1.6,R +1.2,,4.6,0.09,10/30/2018
306,CVOTER,40,6,no,no,Online,no,,0.8,B/C,R +0.2,,100%,0%,1.9,3.4,-1.4,,-1.8,-0.3,,6,R +1.3,R +0.4,,3.2,0.02,11/3/2016
307,KG Polling,502,2,no,partial,Online/Live,yes,,0.8,F,D +0.2,,100%,0%,2.2,5.2,-2.8,,-1.6,-0.1,,2,D +2.2,D +1.0,,1,1.57,3/5/2018
308,IMGE Insights,145,2,no,partial,IVR/Live,no,,0.8,B/C,R +0.5,,100%,50%,6.4,5,1.6,,0.2,0,,2,R +6.4,R +0.5,,6.5,0,11/4/2017
309,Millersville University,210,5,no,yes*,Live*,no,,0.8,B/C,R +0.6,,80%,80%,14.1,5.2,9,,6.9,0.4,,5,R +10.5,R +6.2,,5.8,0,10/26/2002
310,Univ. of Georgia,350,2,no,partial,Online/Live,no,,0.8,B/C,R +0.3,,50%,50%,5.7,5.1,0.8,,-0.7,-0.1,,2,R +4.1,D +0.7,,1.3,0.9,10/26/2018
311,University of New Orleans,358,12,no,partial,IVR/Live,no,,0.8,B/C,D +0.3,,83%,33%,5.6,5.4,0.3,,0.7,0.2,,11,D +1.0,D +2.2,,8.6,0,12/6/2016
312,FM3 Research,91,7,no,partial,Online/Live,no,,0.9,B/C,D +0.5,,79%,29%,5.9,6.2,-0.1,,0.5,0,,7,D +5.5,D +6.9,,8.8,0,10/21/2004
313,Zogby Interactive/JZ Analytics,395,473,no,no,Online,no,,0.9,C+,R +0.6,,77%,29%,5.4,5.7,-0.1,,0.4,0.4,,376,R +0.7,D +0.2,,5,0,10/30/2014
314,Marketing Workshop,194,7,no,yes*,Live*,no,,0.9,B/C,D +0.1,,57%,57%,9.7,5.4,4.5,,3.5,0.3,,7,D +1.6,D +0.7,,2.6,1.83,10/28/2002
315,Kimball Political Consulting,163,4,no,yes,Live,no,,0.9,B/C,R +0.9,,75%,75%,8.1,4.8,3.5,,4.3,0.5,,4,R +8.1,R +4.5,,6.5,0,11/1/2012
316,Momentum Analysis,214,3,no,yes,Live,no,,0.9,B/C,D +0.4,,33%,100%,13.7,6.5,7.4,,7.2,0.5,,3,D +5.7,D +2.8,,,0,10/13/2010
317,ROI Rocket,554,3,no,no,Online,no,,0.9,B/C,,,100%,33%,2.6,8,-5.2,,-3.6,-0.5,,0,,,,3.6,0.77,3/9/2020
318,R.L. Repass & Partners,268,1,no,partial,Online/Live,no,,0.9,B/C,,,100%,100%,11.6,9.8,1.9,,0.7,0,,0,,,,,0,4/27/2016
319,Univision/CMAS UH,568,1,no,partial,Online/Live,no,,0.9,B/C,,,0%,100%,10.7,8,2.9,,0.7,0,,0,,,,4.6,0,2/24/2020
320,Schoen Consulting,301,1,no,partial,Online/Live,no,,0.9,B/C,R +0.1,,100%,0%,2.3,4.5,-2.1,,-0.3,0,,1,R +2.3,R +1.5,,1.9,0.97,10/22/2010
321,20/20 Insight,1,6,no,partial,IVR/Live,no,,0.9,B/C,D +0.2,,50%,33%,12.1,7.6,4.7,,0.8,0.1,,3,D +1.9,D +4.3,,8.8,0,11/1/2018
322,Victoria Research & Consulting,369,1,no,partial,Live/Text,no,,0.9,B/C,D +0.1,,50%,0%,8,6.5,1.7,,1,0,,1,D +8.0,,,,0,10/18/2004
323,JMC Analytics,156,11,no,partial,IVR/Live/Text,no,,0.9,B/C,R +1.0,,86%,18%,5.6,5.2,0.6,,-0.1,0,,11,R +3.0,R +2.8,,3.6,0.57,11/13/2019
324,Sacred Heart University,453,1,no,partial,Online/Live,no,,0.9,B/C,R +0.3,,0%,0%,5.6,5.6,0.2,,0.9,0,,1,R +5.6,R +8.8,,6.4,0,10/30/2018
325,Ed Renwick/Loyola University New Orleans,85,7,no,yes*,Live*,no,,0.9,B/C,D +0.6,,86%,43%,8.1,5,3.3,,4.1,0.5,,7,D +5.3,D +4.6,,6.1,0.01,10/25/2008
326,"Normington, Petts & Associates",232,10,no,partial,Online/Live,no,,0.9,B/C,D +0.5,,60%,40%,6.4,6.2,0.5,,0.7,0.1,,10,D +2.7,D +4.5,,3,0.12,10/16/2014
327,Loras College,171,18,no,yes,Live,no,,0.9,B/C,D +1.5,,72%,33%,8.1,6.5,1.7,,0.9,0.4,,14,D +4.3,R +0.6,,3.3,0.61,11/2/2016
328,Probolsky Research,259,4,no,partial,Online/Live/Text,no,,0.9,B/C,R +0.8,,50%,25%,6.4,5,1.6,,1,0.1,,3,R +7.7,R +5.6,,6.2,0,10/28/2018
329,UT Tyler,458,3,no,partial,Online/Live,no,,0.9,B/C,R +0.3,,67%,67%,7.6,5.8,2,,1.1,0.1,,2,R +4.1,R +0.9,,4.9,0,2/22/2020
330,Gravis Marketing,124,132,no,partial,IVR/Online/Live,no,,0.9,C,D +0.9,,68%,32%,5.3,5.1,0.4,,0.6,0.5,,103,D +1.1,R +0.3,,4.4,0,3/11/2020
331,AtlasIntel,546,8,no,no,Online,no,,0.9,B/C,,,81%,63%,8.8,8.2,0.8,,-0.1,0,,0,,,,8.9,0,3/15/2020
332,Harper Polling/ Clarity Camp,513,1,no,partial,IVR/Live,no,,1,B/C,D +0.3,,0%,0%,7,5.9,1.3,,2.1,0.1,,1,D +7.0,D +4.8,,,0,8/27/2019
333,Susquehanna,326,38,no,partial,IVR/Online/Live,no,,1,C,D +0.9,,76%,29%,5.8,5.5,0.5,,0.7,0.4,,33,D +1.7,D +0.3,,4.8,0,10/30/2018
334,Multi-Quest International,220,2,no,partial,IVR/Live,no,,1,B/C,D +0.0,,0%,0%,5,5.7,-0.5,,-0.1,0,,2,D +0.9,D +2.7,,1.6,2.11,10/17/2014
335,Ogden & Fry,425,3,no,no,IVR,no,,1,B/C,R +0.0,,100%,0%,2.5,5.8,-3,,-4.4,-0.5,,2,R +0.2,R +6.0,,6,0,3/8/2020
336,MRG,193,10,no,yes,Live,no,,1,B/C,D +0.3,,30%,70%,9.9,7.2,2.9,,1.7,0.5,,6,D +1.7,D +1.6,,5.6,0.59,10/16/2018
337,Beacon Research,545,1,no,partial,Online/Live,no,,1,B/C,,,100%,100%,11.4,7.8,3.8,,2.4,0.1,,0,,,,,0,2/14/2020
338,Civiqs,471,3,no,no,Online,no,,1,B/C,,,100%,33%,4.9,7.8,-2.7,,-1.4,-0.2,,0,,,,9.3,0,1/28/2020
339,Clout Research/Wenzel Strategies,55,15,no,yes,Live,no,,1,B/C,R +1.8,,53%,40%,6.7,5,1.9,,2,0.7,,14,R +5.5,R +4.6,,5.2,0,4/15/2017
340,Harris Insights & Analytics,133,169,yes,no,Online,no,,1,C,R +1.3,,83%,49%,5.1,3.4,1.9,,0.9,0.8,,169,R +1.5,D +0.7,,4.1,0,11/5/2018
341,Praecones Analytica,257,3,no,no,IVR/Online,no,,1,B/C,R +0.2,,33%,0%,1.8,6.4,-4.4,,-5.6,-0.6,,3,R +1.8,R +5.2,,4.9,0.76,10/27/2016
342,SocialSphere,307,2,no,partial,Online/Live,no,,1,B/C,R +0.4,,100%,0%,6.1,5.8,0.5,,2.2,0.1,,2,R +6.1,R +6.4,,6.5,0,10/28/2014
343,Cole Hargrave Snodgrass & Associates,56,5,no,partial,Live/Text,no,,1,B/C,D +0.1,,60%,40%,8.1,7,1.3,,1,0.2,,3,D +3.4,R +2.2,,3.7,0.41,2/12/2020
344,Maine People's Resource Center,180,14,no,no,IVR/Online,no,,1,B/C,D +0.1,,93%,36%,6.4,5.3,1.3,,0.1,0,,12,D +0.5,R +1.2,,6.8,0,10/25/2016
345,Western Kentucky University,379,5,no,yes,Live,no,,1,B/C,D +1.2,,80%,80%,11.1,5.9,5.4,,3.3,0.6,,4,D +9.2,R +0.1,,2,0.46,10/28/2016
346,Morning Consult,218,12,no,no,Online,no,,1,B/C,D +0.2,,75%,25%,3,3.5,-0.3,,0.2,0.1,,12,D +0.6,R +0.6,,3.5,0,11/3/2018
347,Alabama State University,8,4,no,no,Landline,no,,1,B/C,,,50%,50%,6.4,8.2,-1.6,,-3.1,-0.3,,0,,,,5,0.03,3/7/2012
348,Glengariff Group,117,10,no,partial,IVR/Live/Text,no,,1,B/C,D +0.3,,80%,40%,5.6,6,-0.2,,0.7,0.2,,8,D +1.3,D +3.0,,4.8,0.2,3/1/2020
349,TargetSmart,332,3,no,partial,Online/Live,no,,1,B/C,D +0.6,,67%,33%,5.3,4.6,0.9,,1.8,0.2,,3,D +5.3,D +1.7,,4,0.23,11/2/2016
350,Optimus,245,16,yes,partial,Online/Live/Text,no,,1,B/C,R +1.4,,81%,69%,8,4.6,3.5,,2.7,1.1,,13,R +3.9,R +2.7,,6.4,0,3/8/2020
351,St. Pete Polls,314,22,no,no,IVR,no,,1,C,R +0.4,,52%,27%,4.4,4.6,0,,0.5,0.3,,21,R +0.9,R +1.3,,3.6,0,3/7/2020
352,Meredith College,423,1,no,partial,Online/Live,no,,1,B/C,,,0%,100%,20.3,8.1,12.4,,3,0.2,,0,,,,2.9,0.74,2/20/2020
353,Roanoke College,292,16,yes,yes,Live,no,,1.1,B/C,D +0.5,,78%,56%,8.6,5.9,2.9,,4,1.4,,13,D +1.8,D +1.9,,5.5,0,10/31/2017
354,IVR Polls,146,4,no,no,IVR,no,,1.1,B/C,,,100%,25%,4.2,8.3,-4,,-2,-0.2,,0,,,,8,0,3/1/2008
355,Strategic National,318,2,no,no,IVR,no,,1.1,B/C,D +0.1,,25%,0%,0.7,5.1,-4.2,,-7.2,-0.6,,2,D +0.7,R +4.8,,5.4,0.03,11/3/2016
356,Master Image,200,2,no,no,IVR,no,,1.1,B/C,,,100%,0%,1.2,7.5,-6.1,,-4.1,-0.3,,0,,,,,0,2/24/2016
357,Capital Survey Research Center,44,13,no,no,Landline,no,,1.1,B/C,D +0.0,,35%,62%,9.7,7.6,2.2,,0.1,0,,4,D +0.6,D +1.3,,10.2,0,3/10/2012
358,OH Predictive Insights,235,6,no,partial,IVR/Online/Live,no,,1.1,B/C,R +0.9,,67%,33%,7.2,6.6,0.8,,1.2,0.3,,4,R +5.4,R +4.7,,4.9,0.07,3/4/2020
359,Riggs Research Services,289,1,no,yes*,Live*,no,,1.1,B/C,D +0.9,,0%,100%,33.7,5.9,28,,25.9,0.7,,1,D +33.7,D +29.0,,29,0,10/28/2010
360,Research America Inc.,282,3,no,partial,Online/Live,no,,1.1,B/C,D +0.1,,100%,33%,14.4,7.6,7,,2.7,0.3,,1,D +1.7,R +1.6,,11.9,0,10/25/2018
361,Columbus Dispatch,57,22,no,no,Mail,no,,1.1,B/C,D +1.0,,93%,45%,5.1,4.6,0.7,,0.6,0.2,,17,D +3.0,D +2.8,,5.5,0,11/1/2016
362,Dixie Strategies,81,11,no,partial,IVR/Live,no,,1.1,B/C,R +1.2,,95%,55%,6.9,5.7,1.4,,1.5,0.5,,8,R +4.5,R +4.0,,7.2,0,10/30/2018
363,OnPoint,240,4,no,no,IVR,no,,1.1,B/C,D +0.1,,100%,0%,1.7,5.2,-3.4,,-2.4,-0.2,,4,D +1.6,D +2.3,,3.7,0.79,11/6/2006
364,Craciun Research Group,61,1,no,yes,Live,no,,1.1,B/C,D +0.7,,0%,100%,18.7,6.2,12.7,,17.5,0.7,,1,D +18.7,D +11.3,,,0,10/24/2016
365,ALG Research,14,15,no,partial,Online/Live,no,,1.1,B/C,D +1.5,,60%,40%,6.5,5.9,0.8,,1.3,0.4,,15,D +4.6,D +6.8,,4.4,0.22,10/27/2018
366,USC,343,6,yes,no,Online,no,,1.1,B/C,D +0.3,,67%,83%,5.3,3.1,2.3,,3.7,0.8,,6,D +1.2,D +1.2,,8.7,0,10/31/2018
367,The Polling Company Inc.,337,7,no,partial,IVR/Online/Live,no,,1.1,B/C,R +1.1,,71%,57%,6.2,5.3,1.1,,1.4,0.3,,7,R +4.8,R +3.3,,6.1,0,11/4/2017
368,M4 Strategies,177,2,no,no,Online,no,,1.1,B/C,R +0.2,,100%,50%,3.1,3.2,0.1,,-4.4,-0.3,,2,R +3.1,D +4.8,,6.7,0,10/25/2012
369,Victory Enterprises,525,1,no,partial,IVR/Live,no,,1.2,B/C,R +0.5,,0%,100%,17.3,6.7,10.9,,9.5,0.3,,1,R +17.3,,,,0,10/24/2012
370,We Ask America,376,53,no,partial,IVR/Online/Live/Text,no,,1.2,C,R +0.8,,82%,45%,6.9,5.6,1.5,,1,0.6,,34,R +1.6,R +2.2,,5.8,0,9/25/2019
371,Edgewater Research/My People Vote,530,2,no,no,IVR,no,,1.2,B/C,R +0.1,,100%,0%,1.7,5.5,-3.6,,-1.7,-0.2,,2,R +0.7,D +0.7,,1.2,1.03,11/11/2019
372,RMG Research,555,1,no,no,IVR/Online,no,,1.2,B/C,,,100%,0%,4.3,8.1,-3.6,,-5.1,-0.3,,0,,,,,0,2/24/2020
373,Evan Falchuk and Lou DiNatale,531,1,no,no,IVR,no,,1.2,B/C,,,0%,100%,11.3,7.9,3.5,,-2.9,-0.2,,0,,,,,0,2/17/2020
374,RABA Research,269,2,no,partial,IVR/Online/Live,no,,1.2,B/C,D +0.3,,100%,50%,5.3,6,-0.4,,2.1,0.2,,1,D +6.9,D +2.0,,2.3,0.57,11/2/2016
375,WPA Intelligence,383,17,no,partial,IVR/Online/Live,no,,1.2,B/C,R +0.7,,68%,47%,7.5,6.2,1.5,,1.3,0.5,,15,R +2.1,R +4.8,,10,0,2/12/2020
376,Forward Strategies,102,2,no,no,IVR,no,,1.2,B/C,D +0.1,,100%,0%,1.3,5.1,-3.6,,-2.9,-0.1,,2,D +1.3,D +3.6,,3.4,1.1,10/28/2010
377,CSP Polling,39,1,no,no,Online,yes,,1.2,F,D +0.1,,100%,0%,2.6,5.6,-2.8,,-2.7,-0.1,,1,D +2.6,R +2.6,,4.1,0.8,6/16/2017
378,Purple Strategies,265,4,no,no,Online,no,,1.2,B/C,R +0.3,,88%,0%,3,4.8,-1.6,,-1.3,-0.1,,4,R +3.0,R +0.1,,2.2,1.29,11/1/2012
379,Revily,284,1,no,no,IVR,no,,1.2,B/C,R +0.0,,100%,0%,0.5,4.8,-4.1,,-2.8,-0.1,,1,R +0.5,D +1.7,,2,1.58,4/11/2017
380,Global Strategy Group,118,22,no,partial,Online/Live/Text,no,,1.2,B/C,D +1.8,,68%,27%,6.7,5.8,1.1,,1.6,0.6,,22,D +4.8,D +5.2,,5.6,0.05,10/22/2014
381,Pacific Market Research,459,2,no,no,Online,no,,1.2,B/C,R +0.7,,100%,50%,7.5,6.5,1.2,,0,0,,2,R +7.5,R +0.9,,,0,10/22/2018
382,Univision/ASU,15,8,no,partial,Online/Live,no,,1.2,B/C,D +0.6,,100%,50%,8.2,6.1,2.3,,2.4,0.3,,6,D +5.8,D +6.8,,0.4,0.87,10/25/2008
383,Crantford Research,62,1,no,no,Online,no,,1.2,B/C,D +0.1,,100%,0%,2.5,5.4,-2.8,,-3.9,-0.1,,1,D +2.5,D +9.5,,,0,10/18/2010
384,Rivercity Polling,291,1,no,no,IVR,no,,1.2,B/C,R +0.2,,100%,0%,6.7,7.6,-0.8,,-3.1,-0.1,,1,R +6.7,R +11.5,,,0,10/21/2010
385,AFL-CIO,526,1,no,no,IVR,no,,1.3,B/C,R +0.1,,100%,0%,3.8,4.9,-0.8,,-1.5,0,,1,R +3.8,,,,0,10/22/2012
386,War Room Logistics,374,1,no,no,IVR,no,,1.3,B/C,,,100%,100%,4.5,7.5,-2.8,,-1.3,0,,0,,,,11.6,0,1/27/2012
387,Diamond State Consulting Group,78,1,no,no,IVR,no,,1.3,B/C,D +0.1,,100%,0%,4.2,5,-0.6,,-1.6,-0.1,,1,D +4.2,R +5.0,,5,0.62,10/21/2014
388,MRG Research,207,22,no,partial,IVR/Live,no,,1.3,B/C,R +2.1,,82%,45%,7.1,5.2,2.1,,1.7,0.7,,21,R +5.5,R +2.4,,8.5,0,10/18/2014
389,Pasquines,552,1,no,no,Online,no,,1.3,B/C,,,100%,0%,10.4,10.1,0.4,,-0.7,0,,0,,,,,0,5/27/2016
390,Florida Chamber of Commerce,577,1,no,no,Landline,no,,1.3,B/C,D +0.0,,100%,0%,1.2,4.8,-3.4,,-2.6,-0.1,,1,D +1.2,D +1.9,,3.2,0.85,10/27/2008
391,PSB Research,250,19,no,no,Online,no,,1.3,B/C,D +2.3,,63%,42%,7.8,6.4,1.6,,0.9,0.3,,19,D +7.0,D +1.0,,5.4,0.02,10/20/2010
392,Trafalgar Group,338,48,no,no,IVR,no,,1.3,C-,R +0.9,,75%,50%,5.6,4.7,1,,0.9,0.6,,34,R +1.5,R +3.4,,5.1,0,2/27/2020
393,Singularis Group,306,1,no,no,IVR,no,,1.3,B/C,R +0.0,,100%,0%,0.8,4.1,-3.1,,-2.6,-0.1,,1,R +0.8,D +2.0,,2,2.38,10/27/2016
394,Constituent Dynamics,58,8,no,no,IVR,no,,1.3,B/C,R +0.0,,88%,63%,8.5,7.6,1.2,,0.8,0.1,,1,R +1.9,D +2.3,,10.9,0,2/25/2008
395,TargetPoint,331,2,no,partial,IVR/Live,no,,1.3,B/C,,,100%,100%,18.3,8.2,10.4,,5.9,0.4,,0,,,,,0,4/9/2016
396,BIGresearch,19,1,no,no,Online,no,,1.3,B/C,R +0.0,,100%,0%,1.9,3.9,-1.8,,-3.6,-0.1,,1,R +1.9,R +7.8,,6.4,0,10/4/2003
397,Rossman Group,294,1,no,no,IVR,no,,1.3,C/D,D +0.1,,100%,0%,4.2,6.5,-2.1,,0.2,0,,1,D +4.2,D +4.7,,,0,10/18/2010
398,Remington Research,279,39,no,partial,IVR/Live,no,,1.3,C-,D +1.2,,69%,36%,4.9,3.7,1.4,,1.4,0.9,,38,D +2.0,R +1.9,,4.7,0,3/5/2020
399,Triumph Campaigns,339,1,no,no,IVR,no,,1.3,C/D,R +0.2,,100%,0%,4.2,4.2,0.3,,0.9,0,,1,R +4.2,R +5.0,,,0,11/5/2015
400,Liberty Opinion Research,169,1,no,no,IVR,no,,1.3,C/D,,,100%,100%,5.7,7.3,-1.4,,0.5,0,,0,,,,2.5,0.51,4/7/2016
401,Big Data Poll,251,4,no,no,IVR/Online,yes,,1.3,F,R +0.4,,25%,25%,3,2.9,0.3,,1.1,0.2,,4,R +3.0,R +4.9,,6.7,0,11/5/2016
402,Iona College,152,1,no,no,IVR,no,,1.3,C/D,D +0.1,,100%,0%,4.4,5.5,-0.9,,-1.1,0,,1,D +4.4,R +1.7,,1.5,2.26,10/20/2010
403,UC Berkeley,457,3,no,no,Online,no,,1.3,C/D,R +0.3,,100%,67%,8,5.3,2.9,,1.2,0.2,,1,R +5.9,D +2.7,,8.3,0,2/23/2020
404,Datamar,75,8,no,no,IVR,no,,1.3,C/D,R +0.3,,69%,38%,6.3,6,0.5,,1.2,0.2,,5,R +2.8,R +3.3,,5.8,0,11/2/2008
405,co/efficient,514,1,no,no,IVR/Text,no,,1.3,C/D,D +0.2,,0%,0%,3.5,4.1,-0.4,,0.4,0,,1,D +3.5,R +0.5,,3,1.04,9/6/2019
406,CNBC/Change Research,48,65,no,no,Online,no,,1.3,C-,D +1.1,,77%,38%,6.6,5.1,1.7,,1,0.7,,57,D +1.6,D +2.1,,6.4,0,3/2/2020
407,CrossTarget,66,2,no,no,IVR,no,,1.3,C/D,R +0.4,,100%,50%,7.7,4.9,3.1,,1.5,0.1,,2,R +7.7,R +13.3,,15.8,0,1/17/2010
408,TeleResearch Corporation,335,1,no,no,IVR,no,,1.4,C/D,,,100%,100%,8.9,8,1,,2.2,0,,0,,,,11.3,0,4/27/2008
409,Critical Insights,64,19,no,partial,Online/Live,no,,1.4,C/D,R +0.1,,89%,42%,8.6,6.4,2.4,,2.2,0.7,,17,R +0.2,R +2.1,,11.4,0,10/31/2012
410,RAND (American Life Panel),270,4,no,no,Online,no,,1.4,C/D,D +0.2,,100%,25%,2.7,2.6,0.3,,1.5,0.2,,4,D +1.4,D +3.7,,4.1,0,10/26/2016
411,Great Lakes Strategies Group,125,1,no,no,IVR,no,,1.4,C/D,R +0.2,,0%,100%,7.5,5,2.7,,3,0.1,,1,R +7.5,R +10.0,,10,0,10/27/2010
412,MarblePort,182,2,no,no,IVR,no,,1.4,C/D,R +0.4,,100%,100%,5.6,4.1,1.6,,2,0.1,,2,R +5.6,R +4.4,,6.3,0,11/11/2015
413,ResearchNow,283,2,no,no,Online,no,,1.4,C/D,,,100%,100%,9.4,8.7,0.8,,0.4,0,,0,,,,1,1.6,2/23/2016
414,New Frontier Strategy,229,1,no,no,IVR,no,,1.4,C/D,,,0%,100%,21.6,7.8,13.9,,4,0.1,,0,,,,,0,1/12/2012
415,Hampton University,131,4,no,partial,Online/Live,no,,1.4,C/D,R +0.8,,50%,50%,7.5,4.5,3.2,,4.6,0.7,,4,R +5.8,R +6.8,,5.5,0,10/20/2017
416,Indiana University-Purdue University Fort Wayne,150,3,no,yes,Live,no,,1.4,C/D,,,0%,100%,23.4,9.2,14.4,,9.3,1,,0,,,,,0,4/21/2016
417,McLaughlin & Associates,203,25,no,partial,Online/Live,no,,1.4,C/D,R +0.9,,70%,36%,6.2,5.7,0.7,,2,0.9,,25,R +2.1,R +4.4,,5.9,0,10/20/2018
418,Zata3,392,2,no,no,IVR,no,,1.4,C/D,R +0.2,,100%,50%,10.5,5.8,4.8,,3.3,0.2,,2,R +4.3,D +0.0,,,0,10/20/2010
419,GCR & Associates,110,1,no,no,IVR,no,,1.5,C/D,,,100%,100%,18.3,8.2,10.3,,5.5,0.2,,0,,,,,0,3/9/2012
420,Mitchell Research & Communications,213,66,no,partial,IVR/Live,no,,1.5,C-,D +0.8,,67%,41%,7.3,6.1,1.4,,1.5,1.1,,41,D +1.4,R +0.2,,5.2,0,3/8/2020
421,Slingshot Strategies,451,1,no,no,IVR/Online,no,,1.5,C/D,D +0.4,,100%,100%,9.3,5.8,3.7,,4.9,0.2,,1,D +9.3,D +9.0,,9,0,11/1/2018
422,ccAdvertising,396,30,no,yes,Live,no,,1.5,C/D,R +2.6,,88%,70%,7.1,4.1,3.1,,2.8,1.3,,30,R +5.7,R +3.7,,4.9,0,11/1/2014
